bucket,window,alpha_avg,beta_avg,p_mean,observations
LDN:narrow:high,long_term,27.30388200898546,22.475470420460315,0.5484981358020742,33
LDN:narrow:mid,long_term,22.50211751294055,17.166315509641112,0.5672550135804706,33
NY:narrow:mid,long_term,25.6560688734969,20.656913483028593,0.5539714258950539,33
LDN:narrow:low,long_term,1.0,1.0,0.5,33
NY:narrow:high,long_term,10.533129730615231,14.445720131235943,0.4216819344713666,33
NY:narrow:low,long_term,1.0,1.0,0.5,33
TOK:narrow:high,long_term,1.0,1.0,0.5,33
TOK:narrow:low,long_term,1.0,1.0,0.5,33
TOK:narrow:mid,long_term,1.0,1.0,0.5,33
LDN:narrow:high,recent,26.759908791299097,23.240091206232684,0.5351981758524017,5
LDN:narrow:low,recent,1.0,1.0,0.5,5
LDN:narrow:mid,recent,24.75688271292985,19.67785996129465,0.5571514815430834,5
NY:narrow:high,recent,11.500414729528632,16.981842941582133,0.4037746888721316,5
NY:narrow:low,recent,1.0,1.0,0.5,5
NY:narrow:mid,recent,27.268760360379833,22.73123888824036,0.5453752154032752,5
TOK:narrow:high,recent,1.0,1.0,0.5,5
TOK:narrow:low,recent,1.0,1.0,0.5,5
TOK:narrow:mid,recent,1.0,1.0,0.5,5
