date,breakouts,gate_pass,gate_block,ev_pass,ev_reject,fills,wins,pnl_pips
2018-01-01,9,8,1,1,0,8,7,17.105714285716545
2018-01-02,272,272,0,233,39,233,217,430.7885714285618
2018-01-03,288,288,0,288,0,288,282,460.85428571426803
2018-01-04,288,288,0,288,0,288,288,443.62285714283587
2018-01-05,264,264,0,264,0,264,264,421.9714285714147
2018-01-07,24,24,0,24,0,24,24,65.83714285713711
2018-01-08,178,178,0,162,16,162,123,93.61142857141118
2018-01-09,288,285,3,284,1,284,284,747.4114285714284
2018-01-10,286,283,3,283,0,283,281,1224.888571428558
2018-01-11,266,266,0,266,0,266,241,821.5342857143013
2018-01-12,264,264,0,264,0,264,264,1012.6457142856917
2018-01-14,24,24,0,24,0,24,23,93.08571428571213
2018-01-15,288,288,0,288,0,288,288,945.385714285709
2018-01-16,255,255,0,56,199,56,21,22.69428571427028
2018-01-17,174,174,0,109,65,109,88,434.54285714283714
2018-01-18,288,288,0,288,0,288,272,1103.2485714285322
2018-01-19,264,264,0,264,0,264,264,965.2800000000107
2018-01-21,24,24,0,24,0,24,24,123.78857142856958
2018-01-22,169,169,0,128,41,128,96,189.63142857142117
2018-01-23,276,274,2,274,0,274,241,903.8457142857222
2018-01-24,288,285,3,285,0,285,285,1440.8142857142911
2018-01-25,288,288,0,288,0,288,288,1918.3628571428244
2018-01-26,206,206,0,206,0,206,185,1307.7428571428418
2018-01-28,24,24,0,24,0,24,24,98.34857142857061
2018-01-29,210,210,0,210,0,210,167,652.6428571428471
2018-01-30,283,283,0,9,274,9,0,-26.654285714282366
2018-01-31,248,247,1,50,197,50,50,231.2057142857114
2018-02-01,288,288,0,288,0,288,288,1165.5428571428251
2018-02-02,262,262,0,243,19,243,212,1049.905714285725
2018-02-04,24,24,0,24,0,24,24,98.59714285714034
2018-02-05,281,272,9,272,0,272,251,1317.6514285714468
2018-02-06,288,288,0,288,0,288,288,2293.1657142856875
2018-02-07,247,247,0,239,8,239,193,1098.0571428571282
2018-02-08,285,285,0,285,0,285,271,1553.0799999999986
2018-02-09,264,264,0,264,0,264,264,1966.4485714285458
2018-02-11,24,24,0,24,0,24,10,15.702857142854043
2018-02-12,288,288,0,288,0,288,288,900.1714285714299
2018-02-13,286,286,0,285,1,285,253,1105.0714285713632
2018-02-14,270,266,4,266,0,266,258,1555.777142857141
2018-02-15,288,288,0,288,0,288,288,1835.819999999997
2018-02-16,204,204,0,201,3,201,134,656.3800000000138
2018-02-18,24,24,0,0,24,0,0,0.0
2018-02-19,288,288,0,281,7,281,281,688.3542857142727
2018-02-20,288,287,1,287,0,287,287,892.1742857142875
2018-02-21,288,288,0,288,0,288,288,1282.5428571428351
2018-02-22,287,287,0,287,0,287,283,1217.551428571399
2018-02-23,264,264,0,264,0,264,264,889.8171428571425
2018-02-25,22,22,0,22,0,22,9,31.571428571426452
2018-02-26,282,282,0,282,0,282,260,879.0057142857063
2018-02-27,288,288,0,288,0,288,288,1074.7457142857072
2018-02-28,283,283,0,283,0,283,270,1039.8571428570906
2018-03-01,284,284,0,284,0,284,266,1150.1771428571135
2018-03-02,264,264,0,264,0,264,264,1418.9742857142983
2018-03-04,24,24,0,24,0,24,24,144.1971428571435
2018-03-05,274,274,0,274,0,274,261,798.4771428571494
2018-03-06,288,287,1,287,0,287,284,1179.3285714285455
2018-03-07,263,263,0,256,7,256,227,1030.4285714285543
