date,breakouts,gate_pass,gate_block,ev_pass,ev_reject,fills,wins,pnl_pips
2018-01-01,9,0,9,0,0,0,0,0.0
2018-01-02,255,156,99,0,156,0,0,0.0
2018-01-03,184,144,40,0,144,0,0,0.0
2018-01-04,216,103,113,0,103,0,0,0.0
2018-01-05,246,150,96,0,150,0,0,0.0
2018-01-07,12,0,12,0,0,0,0,0.0
2018-01-08,209,121,88,0,121,0,0,0.0
2018-01-09,232,124,108,0,124,0,0,0.0
2018-01-10,241,141,100,0,141,0,0,0.0
2018-01-11,249,147,102,0,147,0,0,0.0
2018-01-12,212,155,57,0,155,0,0,0.0
2018-01-14,17,0,17,0,0,0,0,0.0
2018-01-15,243,137,106,0,137,0,0,0.0
2018-01-16,200,90,110,0,90,0,0,0.0
2018-01-17,226,125,101,0,125,0,0,0.0
2018-01-18,217,132,85,0,132,0,0,0.0
2018-01-19,151,63,88,0,63,0,0,0.0
2018-01-21,12,0,12,0,0,0,0,0.0
2018-01-22,252,140,112,0,140,0,0,0.0
2018-01-23,255,155,100,0,155,0,0,0.0
2018-01-24,252,146,106,0,146,0,0,0.0
2018-01-25,247,137,110,0,137,0,0,0.0
2018-01-26,223,136,87,0,136,0,0,0.0
2018-01-28,11,0,11,0,0,0,0,0.0
2018-01-29,251,155,96,0,155,0,0,0.0
2018-01-30,240,142,98,0,142,0,0,0.0
2018-01-31,223,127,96,0,127,0,0,0.0
2018-02-01,251,141,110,0,141,0,0,0.0
2018-02-02,243,149,94,0,149,0,0,0.0
2018-02-04,19,0,19,0,0,0,0,0.0
2018-02-05,216,97,119,0,97,0,0,0.0
2018-02-06,201,88,113,0,88,0,0,0.0
2018-02-07,243,140,103,0,140,0,0,0.0
2018-02-08,221,151,70,0,151,0,0,0.0
2018-02-09,226,132,94,0,132,0,0,0.0
2018-02-11,15,0,15,0,0,0,0,0.0
2018-02-12,236,123,113,0,123,0,0,0.0
2018-02-13,236,129,107,0,129,0,0,0.0
2018-02-14,247,141,106,0,141,0,0,0.0
2018-02-15,245,134,111,0,134,0,0,0.0
2018-02-16,210,117,93,0,117,0,0,0.0
2018-02-18,19,0,19,0,0,0,0,0.0
2018-02-19,219,114,105,0,114,0,0,0.0
2018-02-20,244,134,110,0,134,0,0,0.0
2018-02-21,262,153,109,0,153,0,0,0.0
2018-02-22,260,146,114,0,146,0,0,0.0
2018-02-23,222,126,96,0,126,0,0,0.0
2018-02-25,5,0,5,0,0,0,0,0.0
2018-02-26,232,120,112,0,120,0,0,0.0
2018-02-27,214,112,102,0,112,0,0,0.0
2018-02-28,222,117,105,0,117,0,0,0.0
2018-03-01,262,152,110,0,152,0,0,0.0
2018-03-02,230,137,93,0,137,0,0,0.0
2018-03-04,6,0,6,0,0,0,0,0.0
2018-03-05,183,153,30,0,153,0,0,0.0
2018-03-06,236,124,112,0,124,0,0,0.0
2018-03-07,191,80,111,0,80,0,0,0.0
