date,breakouts,gate_pass,gate_block,ev_pass,ev_reject,fills,wins,pnl_pips
2018-01-01,0,0,9,0,0,0,0.0,0.0
2018-01-02,2,2,98,0,0,2,0.0,-4.094222168260563
2018-01-03,2,2,39,0,0,2,0.0,-3.1974141534420744
2018-01-04,2,2,113,0,0,2,0.6271631308048511,-3.1479780571193574
2018-01-05,2,2,96,0,0,2,1.0,-0.7048631784205466
2018-01-07,0,0,12,0,0,0,0.0,0.0
2018-01-08,2,2,88,0,0,2,1.0,-0.4274957005708857
2018-01-09,2,2,108,0,0,2,1.0,-0.3799822352751294
2018-01-10,2,2,99,0,0,2,0.0,-3.48239267552258
2018-01-11,2,2,102,0,0,2,2.0,2.249494831014975
2018-01-12,2,2,57,0,0,2,2.0,1.9756088925328799
2018-01-14,0,0,16,0,0,0,0.0,0.0
2018-01-15,2,2,106,0,0,2,0.0,-4.564593396625954
2018-01-16,2,2,109,0,0,2,0.0,-3.578418184625134
2018-01-17,2,2,101,0,0,2,0.0,-3.742592552283675
2018-01-18,2,2,84,0,0,2,0.0,-3.9708438880047856
2018-01-19,2,2,88,0,0,2,0.0,-3.396710161465108
2018-01-21,0,0,12,0,0,0,0.0,0.0
2018-01-22,2,2,110,0,0,2,0.0,-3.840191755447899
2018-01-23,2,2,95,0,0,2,0.0,-3.1792078101504755
2018-01-24,2,2,105,0,0,2,0.6349120537732689,-2.071958185235275
2018-01-25,2,2,103,0,0,2,1.0,-0.2153965723770379
2018-01-26,2,2,77,0,0,2,0.0,-3.535762367996255
2018-01-28,0,0,10,0,0,0,0.0,0.0
2018-01-29,2,2,94,0,0,2,0.0,-3.2064444743726552
2018-01-30,2,2,98,0,0,2,1.0,-0.3159670732136568
2018-01-31,2,2,95,0,0,2,0.0,-3.4158476302979164
2018-02-01,2,2,109,0,0,2,0.0,-3.679466799332663
2018-02-02,2,2,94,0,0,2,0.6355479253055389,-1.7059736061532391
2018-02-04,0,0,12,0,0,0,0.0,0.0
2018-02-05,2,2,111,0,0,2,0.0,-3.974312394386274
2018-02-06,0,0,110,0,86,0,0.0,0.0
2018-02-07,0,0,103,0,138,0,0.0,0.0
2018-02-08,0,0,70,0,116,0,0.0,0.0
2018-02-09,0,0,94,0,130,0,0.0,0.0
2018-02-11,0,0,14,0,0,0,0.0,0.0
2018-02-12,0,0,115,0,120,0,0.0,0.0
2018-02-13,0,0,106,0,105,0,0.0,0.0
2018-02-14,0,0,106,0,140,0,0.0,0.0
2018-02-15,0,0,111,0,133,0,0.0,0.0
2018-02-16,0,0,93,0,117,0,0.0,0.0
2018-02-18,0,0,17,0,0,0,0.0,0.0
2018-02-19,0,0,102,0,73,0,0.0,0.0
2018-02-20,0,0,109,0,133,0,0.0,0.0
2018-02-21,0,0,108,0,153,0,0.0,0.0
2018-02-22,0,0,114,0,140,0,0.0,0.0
2018-02-23,0,0,96,0,124,0,0.0,0.0
2018-02-25,0,0,5,0,0,0,0.0,0.0
2018-02-26,0,0,106,0,119,0,0.0,0.0
2018-02-27,0,0,73,0,111,0,0.0,0.0
2018-02-28,0,0,105,0,107,0,0.0,0.0
2018-03-01,0,0,107,0,151,0,0.0,0.0
2018-03-02,0,0,91,0,135,0,0.0,0.0
2018-03-04,0,0,6,0,0,0,0.0,0.0
2018-03-05,0,0,30,0,152,0,0.0,0.0
2018-03-06,0,0,111,0,124,0,0.0,0.0
2018-03-07,0,0,111,0,78,0,0.0,0.0
2018-03-08,0,0,110,0,84,0,0.0,0.0
2018-03-09,0,0,96,0,110,0,0.0,0.0
2018-03-11,0,0,14,0,12,0,0.0,0.0
2018-03-12,0,0,117,0,78,0,0.0,0.0
2018-03-13,0,0,108,0,143,0,0.0,0.0
2018-03-14,0,0,93,0,149,0,0.0,0.0
2018-03-15,0,0,105,0,141,0,0.0,0.0
2018-03-16,0,0,96,0,118,0,0.0,0.0
2018-03-18,0,0,8,0,12,0,0.0,0.0
2018-03-19,0,0,110,0,144,0,0.0,0.0
2018-03-20,0,0,119,0,81,0,0.0,0.0
2018-03-21,0,0,113,0,135,0,0.0,0.0
2018-03-22,0,0,114,0,125,0,0.0,0.0
2018-03-23,0,0,96,0,117,0,0.0,0.0
2018-03-25,0,0,8,0,12,0,0.0,0.0
2018-03-26,0,0,102,0,105,0,0.0,0.0
2018-03-27,0,0,104,0,143,0,0.0,0.0
2018-03-28,0,0,113,0,132,0,0.0,0.0
2018-03-29,0,0,105,0,141,0,0.0,0.0
2018-03-30,0,0,133,0,31,0,0.0,0.0
2018-04-01,0,0,2,0,6,0,0.0,0.0
2018-04-02,0,0,32,0,131,0,0.0,0.0
2018-04-03,0,0,104,0,94,0,0.0,0.0
2018-04-04,0,0,78,0,118,0,0.0,0.0
2018-04-05,0,0,110,0,151,0,0.0,0.0
2018-04-06,0,0,95,0,81,0,0.0,0.0
2018-04-08,0,0,7,0,12,0,0.0,0.0
2018-04-09,0,0,61,0,121,0,0.0,0.0
