date,fills_cons,fills_bridge,pnl_cons_pips,pnl_bridge_pips,diff_pips,wins_cons,wins_bridge,gate_pass_cons,gate_pass_bridge,ev_pass_cons,ev_pass_bridge
2018-01-01,0,0,0.0,0.0,0.0,0,0,8,8,0,0
2018-01-02,0,0,0.0,0.0,0.0,0,0,247,247,0,0
2018-01-03,0,0,0.0,0.0,0.0,0,0,272,272,0,0
2018-01-04,0,0,0.0,0.0,0.0,0,0,277,277,0,0
2018-01-05,0,0,0.0,0.0,0.0,0,0,212,212,0,0
2018-01-07,0,0,0.0,0.0,0.0,0,0,24,24,0,0
2018-01-08,0,0,0.0,0.0,0.0,0,0,218,218,0,0
2018-01-09,0,0,0.0,0.0,0.0,0,0,254,254,0,0
2018-01-10,0,0,0.0,0.0,0.0,0,0,271,271,0,0
2018-01-11,0,0,0.0,0.0,0.0,0,0,280,280,0,0
2018-01-12,0,0,0.0,0.0,0.0,0,0,250,250,0,0
2018-01-14,0,0,0.0,0.0,0.0,0,0,24,24,0,0
2018-01-15,0,0,0.0,0.0,0.0,0,0,288,288,0,0
2018-01-16,0,0,0.0,0.0,0.0,0,0,278,278,0,0
2018-01-17,0,0,0.0,0.0,0.0,0,0,254,254,0,0
2018-01-18,0,0,0.0,0.0,0.0,0,0,286,286,0,0
2018-01-19,0,0,0.0,0.0,0.0,0,0,264,264,0,0
2018-01-21,0,0,0.0,0.0,0.0,0,0,24,24,0,0
2018-01-22,0,0,0.0,0.0,0.0,0,0,284,284,0,0
2018-01-23,0,0,0.0,0.0,0.0,0,0,269,269,0,0
2018-01-24,0,0,0.0,0.0,0.0,0,0,281,281,0,0
2018-01-25,0,0,0.0,0.0,0.0,0,0,284,284,0,0
2018-01-26,0,0,0.0,0.0,0.0,0,0,248,248,0,0
2018-01-28,0,0,0.0,0.0,0.0,0,0,24,24,0,0
2018-01-29,0,0,0.0,0.0,0.0,0,0,253,253,0,0
2018-01-30,0,0,0.0,0.0,0.0,0,0,264,264,0,0
2018-01-31,0,0,0.0,0.0,0.0,0,0,258,258,0,0
2018-02-01,0,0,0.0,0.0,0.0,0,0,288,288,0,0
2018-02-02,0,0,0.0,0.0,0.0,0,0,256,256,0,0
2018-02-04,0,0,0.0,0.0,0.0,0,0,24,24,0,0
2018-02-05,0,0,0.0,0.0,0.0,0,0,262,262,0,0
2018-02-06,0,0,0.0,0.0,0.0,0,0,240,240,0,0
2018-02-07,0,0,0.0,0.0,0.0,0,0,254,254,0,0
2018-02-08,0,0,0.0,0.0,0.0,0,0,278,278,0,0
2018-02-09,0,0,0.0,0.0,0.0,0,0,231,231,0,0
2018-02-11,0,0,0.0,0.0,0.0,0,0,24,24,0,0
2018-02-12,0,0,0.0,0.0,0.0,0,0,141,141,0,0
2018-02-13,0,0,0.0,0.0,0.0,0,0,272,272,0,0
2018-02-14,0,0,0.0,0.0,0.0,0,0,260,260,0,0
2018-02-15,0,0,0.0,0.0,0.0,0,0,277,277,0,0
2018-02-16,0,0,0.0,0.0,0.0,0,0,248,248,0,0
2018-02-18,0,0,0.0,0.0,0.0,0,0,24,24,0,0
2018-02-19,0,0,0.0,0.0,0.0,0,0,288,288,0,0
2018-02-20,0,0,0.0,0.0,0.0,0,0,240,240,0,0
2018-02-21,0,0,0.0,0.0,0.0,0,0,271,271,0,0
2018-02-22,0,0,0.0,0.0,0.0,0,0,287,287,0,0
2018-02-23,0,0,0.0,0.0,0.0,0,0,229,229,0,0
2018-02-25,0,0,0.0,0.0,0.0,0,0,22,22,0,0
2018-02-26,0,0,0.0,0.0,0.0,0,0,227,227,0,0
2018-02-27,0,0,0.0,0.0,0.0,0,0,277,277,0,0
2018-02-28,0,0,0.0,0.0,0.0,0,0,285,285,0,0
2018-03-01,0,0,0.0,0.0,0.0,0,0,248,248,0,0
2018-03-02,0,0,0.0,0.0,0.0,0,0,264,264,0,0
2018-03-04,0,0,0.0,0.0,0.0,0,0,24,24,0,0
2018-03-05,0,0,0.0,0.0,0.0,0,0,260,260,0,0
2018-03-06,0,0,0.0,0.0,0.0,0,0,263,263,0,0
2018-03-07,0,0,0.0,0.0,0.0,0,0,287,287,0,0
2018-03-08,0,0,0.0,0.0,0.0,0,0,225,225,0,0
2018-03-09,0,0,0.0,0.0,0.0,0,0,260,260,0,0
2018-03-11,0,0,0.0,0.0,0.0,0,0,36,36,0,0
