date,breakouts,gate_pass,gate_block,ev_pass,ev_reject,fills,wins,pnl_pips
2018-01-01,9,0,9,0,0,0,0,0.0
2018-01-02,150,52,98,44,1,51,44,38.480000000002235
2018-01-03,34,2,32,2,0,2,0,-4.421428571428464
2018-01-04,106,2,104,2,0,2,0,-6.322857142856208
2018-01-05,97,1,96,1,0,1,0,-2.0985714285719155
2018-01-07,12,0,12,0,0,0,0,0.0
2018-01-08,141,53,88,1,52,1,0,-2.2228571428574924
2018-01-09,112,4,108,2,2,2,0,-7.424285714285816
2018-01-10,147,48,99,1,47,1,0,-3.761428571428837
2018-01-11,184,82,102,1,81,1,1,3.7171428571435854
2018-01-12,113,56,57,1,55,1,0,-3.96285714285699
2018-01-14,8,0,8,0,0,0,0,0.0
2018-01-15,193,89,104,1,88,1,0,-4.884285714286307
2018-01-16,197,88,109,0,88,0,0,0.0
2018-01-17,174,73,101,1,72,1,1,-0.5956499040313474
2018-01-18,180,96,84,1,95,1,0,-3.459999999998786
2018-01-19,109,21,88,1,20,1,0,-4.994285714285695
2018-01-21,12,0,12,0,0,0,0,0.0
2018-01-22,232,123,109,0,123,0,0,0.0
2018-01-23,168,74,94,1,73,1,0,-4.828571428571593
2018-01-24,197,92,105,1,91,1,1,0.33845332539880246
2018-01-25,201,99,102,1,98,1,0,-6.512857142857797
2018-01-26,177,100,77,1,99,1,0,-5.210000000000036
2018-01-28,10,0,10,0,0,0,0,0.0
2018-01-29,177,91,86,1,90,1,0,-4.841428571427741
2018-01-30,222,124,98,1,123,1,1,3.5371428571432943
2018-01-31,178,83,95,1,82,1,0,-4.944285714285456
2018-02-01,195,86,109,1,85,1,0,-4.8199999999998795
2018-02-02,137,43,94,1,42,1,0,-5.377142857142758
2018-02-04,10,0,10,0,0,0,0,0.0
2018-02-05,191,86,105,1,85,1,0,-5.308571428571895
2018-02-06,174,69,105,1,68,1,0,-6.932857142857529
2018-02-07,187,85,102,1,84,1,0,-4.012857142857229
2018-02-08,168,101,67,1,100,1,0,-4.680000000000916
2018-02-09,177,84,93,1,83,1,1,3.654285714285777
2018-02-11,12,0,12,0,0,0,0,0.0
2018-02-12,170,60,110,1,59,1,1,0.25354266657399194
2018-02-13,158,60,98,0,60,0,0,0.0
2018-02-14,190,91,99,1,90,1,0,-4.190000000000282
2018-02-15,204,93,111,1,92,1,0,-4.944285714285456
2018-02-16,175,82,93,1,81,1,0,-4.458571428570679
2018-02-18,15,0,15,0,0,0,0,0.0
2018-02-19,122,23,99,1,22,1,0,-4.254285714285288
2018-02-20,232,125,107,0,125,0,0,0.0
2018-02-21,204,97,107,1,96,1,0,-4.03571428571513
2018-02-22,212,104,108,1,103,1,1,-0.7229171975130839
2018-02-23,179,83,96,1,82,1,0,-3.7957142857142685
2018-02-25,5,0,5,0,0,0,0,0.0
2018-02-26,206,101,105,1,100,1,0,-3.11857142857167
2018-02-27,176,103,73,0,103,0,0,0.0
2018-02-28,186,81,105,1,80,1,0,-3.6542857142852654
2018-03-01,246,140,106,0,140,0,0,0.0
2018-03-02,175,84,91,1,83,1,1,5.277142857142792
2018-03-04,6,0,6,0,0,0,0,0.0
2018-03-05,128,98,30,1,97,1,1,0.3224808759479174
2018-03-06,180,74,106,1,73,1,0,-3.8057142857146005
2018-03-07,88,55,33,1,54,1,1,3.588571428572152
2018-03-08,134,29,105,1,28,1,1,2.619999999999834
2018-03-09,130,34,96,0,34,0,0,0.0
2018-03-11,19,6,13,0,6,0,0,0.0
2018-03-12,117,9,108,1,8,1,0,-4.0614285714288485
2018-03-13,210,102,108,1,101,1,1,3.7257142857138774
2018-03-14,201,108,93,1,107,1,1,2.080000000000382
2018-03-15,198,93,105,1,92,1,0,-4.382857142856722
2018-03-16,187,91,96,1,90,1,0,-4.438571428571436
2018-03-18,16,11,5,0,11,0,0,0.0
2018-03-19,189,84,105,1,83,1,1,3.1857142857144254
2018-03-20,139,35,104,1,34,1,0,-4.0142857142858475
2018-03-21,245,134,111,0,134,0,0,0.0
2018-03-22,178,66,112,1,65,1,0,-3.69714285714241
2018-03-23,140,66,74,1,65,1,1,5.362857142857081
2018-03-25,20,12,8,0,12,0,0,0.0
2018-03-26,173,72,101,1,71,1,0,-3.1142857142858134
2018-03-27,238,139,99,0,139,0,0,0.0
2018-03-28,199,95,104,1,94,1,0,-5.197142857142467
2018-03-29,211,110,101,0,110,0,0,0.0
2018-03-30,145,52,93,0,52,0,0,0.0
2018-04-01,8,6,2,0,6,0,0,0.0
2018-04-02,156,130,26,0,130,0,0,0.0
2018-04-03,183,81,102,0,81,0,0,0.0
2018-04-04,169,103,66,0,103,0,0,0.0
2018-04-05,248,138,110,0,138,0,0,0.0
2018-04-06,173,80,93,0,80,0,0,0.0
2018-04-08,19,12,7,0,12,0,0,0.0
2018-04-09,176,115,61,0,115,0,0,0.0
