date,breakouts,gate_pass,gate_block,ev_pass,ev_reject,fills,wins,pnl_pips
2018-01-01,9,8,1,0,0,0,0,0.0
2018-01-02,272,272,0,178,0,164,163,125.1742857142716
2018-01-03,277,277,0,261,16,141,122,75.89999999999577
2018-01-04,288,288,0,288,0,168,168,121.28571428569757
2018-01-05,264,264,0,264,0,168,168,121.62285714284877
2018-01-07,24,24,0,24,0,0,0,0.0
2018-01-08,265,265,0,265,0,145,130,65.58285714284295
2018-01-09,272,269,3,269,0,168,168,225.22857142856196
2018-01-10,287,284,3,284,0,165,165,444.25428571426835
2018-01-11,280,280,0,280,0,160,149,254.88285714285723
2018-01-12,250,250,0,248,2,152,131,306.03428571427145
2018-01-14,24,24,0,24,0,0,0,0.0
2018-01-15,288,288,0,288,0,168,168,208.11999999999813
2018-01-16,279,279,0,279,0,160,141,234.76571428569883
2018-01-17,254,254,0,250,4,131,117,241.35714285713163
2018-01-18,286,286,0,286,0,166,150,330.45714285712506
2018-01-19,264,264,0,264,0,168,168,299.8000000000033
2018-01-21,24,24,0,24,0,0,0,0.0
2018-01-22,284,284,0,284,0,167,163,189.7971428571367
2018-01-23,281,279,2,279,0,168,159,314.5542857142786
2018-01-24,288,285,3,285,0,165,165,543.5971428571349
2018-01-25,288,288,0,288,0,168,155,656.7085714285663
2018-01-26,255,255,0,255,0,160,154,703.2942857142801
2018-01-28,24,24,0,24,0,0,0,0.0
2018-01-29,253,253,0,253,0,133,120,233.69999999998754
2018-01-30,264,264,0,264,0,168,162,418.65428571427685
2018-01-31,263,262,1,262,0,150,134,400.3399999999971
2018-02-01,288,288,0,288,0,168,168,429.0057142857009
2018-02-02,264,264,0,264,0,168,168,481.3257142857239
2018-02-04,24,24,0,24,0,0,0,0.0
2018-02-05,279,270,9,270,0,150,138,405.90857142858
2018-02-06,242,242,0,214,28,118,92,329.1085714285728
2018-02-07,255,255,0,165,90,124,97,225.51428571427863
2018-02-08,281,281,0,0,281,0,0,0.0
2018-02-09,233,233,0,4,229,4,2,-2.2885714285706626
2018-02-11,24,24,0,0,24,0,0,0.0
2018-02-12,144,144,0,0,144,0,0,0.0
2018-02-13,282,282,0,0,282,0,0,0.0
2018-02-14,288,284,4,0,284,0,0,0.0
2018-02-15,283,283,0,0,283,0,0,0.0
2018-02-16,248,248,0,0,248,0,0,0.0
2018-02-18,24,24,0,0,24,0,0,0.0
2018-02-19,288,288,0,0,288,0,0,0.0
2018-02-20,288,287,1,0,287,0,0,0.0
2018-02-21,276,276,0,0,276,0,0,0.0
2018-02-22,287,287,0,0,287,0,0,0.0
2018-02-23,229,229,0,0,229,0,0,0.0
2018-02-25,22,22,0,0,22,0,0,0.0
2018-02-26,229,229,0,0,229,0,0,0.0
2018-02-27,282,282,0,0,282,0,0,0.0
2018-02-28,288,288,0,0,288,0,0,0.0
2018-03-01,251,251,0,0,251,0,0,0.0
2018-03-02,264,264,0,0,264,0,0,0.0
2018-03-04,24,24,0,0,24,0,0,0.0
2018-03-05,260,260,0,0,260,0,0,0.0
2018-03-06,277,276,1,0,276,0,0,0.0
