run_id,run_dir,timestamp,symbol,mode,equity,or_n,k_tp,k_sl,k_tr,threshold_lcb,min_or_atr,rv_cuts,allow_low_rv,allowed_sessions,warmup,prior_alpha,prior_beta,include_expected_slip,rv_quantile,calibrate_days,ev_mode,size_floor,trades,wins,total_pips,sharpe,max_drawdown,win_rate,pnl_per_trade,state_path,gate_block,ev_reject,ev_bypass,dump_rows,state_loaded,state_archive_path,ev_profile_path
grid_USDJPY_conservative_or6_ktp1.0_ksl0.6_20250921_130118,runs/grid_USDJPY_conservative_or6_ktp1.0_ksl0.6_20250921_130118,20250921_130118,USDJPY,conservative,100000.0,6,1.0,0.6,,0.0,0.4,,True,,50,,,,,,,,99,59,-125.9714285714291,,,0.5959595959595959,-1.2724386724386778,runs/grid_USDJPY_conservative_or6_ktp1.0_ksl0.6_20250921_130118/state.json,177517,221994,6,,,,
grid_USDJPY_conservative_or4_ktp0.6_ksl0.4_20250921_130235,runs/grid_USDJPY_conservative_or4_ktp0.6_ksl0.4_20250921_130235,20250921_130235,USDJPY,conservative,100000.0,4,0.6,0.4,,0.0,0.4,,True,,50,,,,,,,,118,73,-126.78428571428634,,,0.6186440677966102,-1.0744430992736131,runs/grid_USDJPY_conservative_or4_ktp0.6_ksl0.4_20250921_130235/state.json,184442,240867,8,,,,
grid_USDJPY_conservative_or4_ktp0.6_ksl0.6_20250921_130246,runs/grid_USDJPY_conservative_or4_ktp0.6_ksl0.6_20250921_130246,20250921_130246,USDJPY,conservative,100000.0,4,0.6,0.6,,0.0,0.4,,True,,50,,,,,,,,83,59,-142.33714285714365,,,0.7108433734939759,-1.7149053356282367,runs/grid_USDJPY_conservative_or4_ktp0.6_ksl0.6_20250921_130246/state.json,184449,242032,10,,,,
grid_USDJPY_conservative_or4_ktp0.6_ksl0.8_20250921_130257,runs/grid_USDJPY_conservative_or4_ktp0.6_ksl0.8_20250921_130257,20250921_130257,USDJPY,conservative,100000.0,4,0.6,0.8,,0.0,0.4,,True,,50,,,,,,,,80,62,-83.1900000000013,,,0.775,-1.0398750000000163,runs/grid_USDJPY_conservative_or4_ktp0.6_ksl0.8_20250921_130257/state.json,184449,242540,13,,,,
grid_USDJPY_conservative_or4_ktp0.8_ksl0.4_20250921_130309,runs/grid_USDJPY_conservative_or4_ktp0.8_ksl0.4_20250921_130309,20250921_130309,USDJPY,conservative,100000.0,4,0.8,0.4,,0.0,0.4,,True,,50,,,,,,,,117,66,-67.00285714285377,,,0.5641025641025641,-0.5726739926739638,runs/grid_USDJPY_conservative_or4_ktp0.8_ksl0.4_20250921_130309/state.json,184449,240339,6,,,,
grid_USDJPY_conservative_or4_ktp0.8_ksl0.6_20250921_130320,runs/grid_USDJPY_conservative_or4_ktp0.8_ksl0.6_20250921_130320,20250921_130320,USDJPY,conservative,100000.0,4,0.8,0.6,,0.0,0.4,,True,,50,,,,,,,,93,61,-71.99857142857519,,,0.6559139784946236,-0.7741781874040343,runs/grid_USDJPY_conservative_or4_ktp0.8_ksl0.6_20250921_130320/state.json,184449,241675,8,,,,
grid_USDJPY_conservative_or4_ktp0.8_ksl0.8_20250921_130331,runs/grid_USDJPY_conservative_or4_ktp0.8_ksl0.8_20250921_130331,20250921_130331,USDJPY,conservative,100000.0,4,0.8,0.8,,0.0,0.4,,True,,50,,,,,,,,96,68,-77.3657142857171,,,0.7083333333333334,-0.8058928571428865,runs/grid_USDJPY_conservative_or4_ktp0.8_ksl0.8_20250921_130331/state.json,184449,241680,9,,,,
grid_USDJPY_conservative_or4_ktp1.0_ksl0.4_20250921_130342,runs/grid_USDJPY_conservative_or4_ktp1.0_ksl0.4_20250921_130342,20250921_130342,USDJPY,conservative,100000.0,4,1.0,0.4,,0.0,0.4,,True,,50,,,,,,,,148,75,-70.63285714285479,,,0.5067567567567568,-0.47724903474901886,runs/grid_USDJPY_conservative_or4_ktp1.0_ksl0.4_20250921_130342/state.json,184442,238799,5,,,,
grid_USDJPY_conservative_or4_ktp1.0_ksl0.6_20250921_130353,runs/grid_USDJPY_conservative_or4_ktp1.0_ksl0.6_20250921_130353,20250921_130353,USDJPY,conservative,100000.0,4,1.0,0.6,,0.0,0.4,,True,,50,,,,,,,,113,66,-36.79285714285095,,,0.584070796460177,-0.32560050568894644,runs/grid_USDJPY_conservative_or4_ktp1.0_ksl0.6_20250921_130353/state.json,184449,240940,6,,,,
grid_USDJPY_conservative_or4_ktp1.0_ksl0.8_20250921_130404,runs/grid_USDJPY_conservative_or4_ktp1.0_ksl0.8_20250921_130404,20250921_130404,USDJPY,conservative,100000.0,4,1.0,0.8,,0.0,0.4,,True,,50,,,,,,,,116,75,29.13142857144902,,,0.646551724137931,0.25113300492628465,runs/grid_USDJPY_conservative_or4_ktp1.0_ksl0.8_20250921_130404/state.json,184449,240726,7,,,,
